"modification_probability"	"count"	"element"
1.5	2	"3"
1.6	1	"8"
1.6	1	"7"
1.6	1	"16"
1.6	1	"14"
1.6	2	"12"
1.7	1	"Y"
1.7	5	"X"
1.7	2	"9"
1.7	1	"8"
1.7	1	"6"
1.7	4	"5"
1.7	3	"4"
1.7	4	"3"
1.7	1	"22"
1.7	2	"20"
1.7	5	"2"
1.7	3	"19"
1.7	2	"18"
1.7	3	"16"
1.7	2	"15"
1.7	1	"12"
1.7	1	"11"
1.7	1	"10"
1.7	3	"1"
1.8	4	"Y"
1.8	19	"X"
1.8	7	"9"
1.8	4	"8"
1.8	5	"7"
1.8	5	"6"
1.8	8	"5"
1.8	11	"4"
1.8	12	"3"
1.8	4	"22"
1.8	5	"21"
1.8	3	"20"
1.8	11	"2"
1.8	6	"19"
1.8	2	"18"
1.8	5	"17"
1.8	4	"16"
1.8	1	"15"
1.8	4	"14"
1.8	3	"13"
1.8	12	"12"
1.8	11	"11"
1.8	5	"10"
1.8	9	"1"
1.9	8	"Y"
1.9	30	"X"
1.9	22	"9"
1.9	40	"8"
1.9	25	"7"
1.9	20	"6"
1.9	25	"5"
1.9	34	"4"
1.9	32	"3"
1.9	14	"22"
1.9	5	"21"
1.9	15	"20"
1.9	51	"2"
1.9	19	"19"
1.9	15	"18"
1.9	16	"17"
1.9	22	"16"
1.9	18	"15"
1.9	19	"14"
1.9	15	"13"
1.9	19	"12"
1.9	27	"11"
1.9	21	"10"
1.9	44	"1"
2	17	"Y"
2	78	"X"
2	50	"9"
2	61	"8"
2	55	"7"
2	72	"6"
2	77	"5"
2	68	"4"
2	72	"3"
2	32	"22"
2	18	"21"
2	43	"20"
2	97	"2"
2	42	"19"
2	29	"18"
2	56	"17"
2	46	"16"
2	53	"15"
2	53	"14"
2	42	"13"
2	64	"12"
2	62	"11"
2	69	"10"
2	124	"1"
2.1	31	"Y"
2.1	168	"X"
2.1	129	"9"
2.1	173	"8"
2.1	165	"7"
2.1	165	"6"
2.1	187	"5"
2.1	197	"4"
2.1	184	"3"
2.1	82	"22"
2.1	52	"21"
2.1	108	"20"
2.1	271	"2"
2.1	128	"19"
2.1	94	"18"
2.1	131	"17"
2.1	115	"16"
2.1	128	"15"
2.1	117	"14"
2.1	102	"13"
2.1	166	"12"
2.1	190	"11"
2.1	153	"10"
2.1	274	"1"
2.2	50	"Y"
2.2	330	"X"
2.2	317	"9"
2.2	346	"8"
2.2	403	"7"
2.2	386	"6"
2.2	387	"5"
2.2	355	"4"
2.2	393	"3"
2.2	191	"22"
2.2	119	"21"
2.2	246	"20"
2.2	554	"2"
2.2	322	"19"
2.2	173	"18"
2.2	323	"17"
2.2	321	"16"
2.2	218	"15"
2.2	259	"14"
2.2	219	"13"
2.2	335	"12"
2.2	400	"11"
2.2	356	"10"
2.2	612	"1"
2.3	69	"Y"
2.3	618	"X"
2.3	608	"9"
2.3	670	"8"
2.3	748	"7"
2.3	733	"6"
2.3	727	"5"
2.3	652	"4"
2.3	732	"3"
2.3	309	"22"
2.3	200	"21"
2.3	468	"20"
2.3	1074	"2"
2.3	671	"19"
2.3	333	"18"
2.3	660	"17"
2.3	620	"16"
2.3	501	"15"
2.3	475	"14"
2.3	372	"13"
2.3	649	"12"
2.3	751	"11"
2.3	692	"10"
2.3	1261	"1"
2.4	116	"Y"
2.4	900	"X"
2.4	1090	"9"
2.4	1104	"8"
2.4	1285	"7"
2.4	1289	"6"
2.4	1268	"5"
2.4	1081	"4"
2.4	1274	"3"
2.4	625	"22"
2.4	354	"21"
2.4	794	"20"
2.4	1781	"2"
2.4	1215	"19"
2.4	545	"18"
2.4	1255	"17"
2.4	1089	"16"
2.4	800	"15"
2.4	822	"14"
2.4	643	"13"
2.4	1104	"12"
2.4	1266	"11"
2.4	1220	"10"
2.4	2218	"1"
2.5	173	"Y"
2.5	1328	"X"
2.5	1695	"9"
2.5	1769	"8"
2.5	2023	"7"
2.5	1947	"6"
2.5	1958	"5"
2.5	1665	"4"
2.5	1927	"3"
2.5	929	"22"
2.5	552	"21"
2.5	1239	"20"
2.5	2698	"2"
2.5	1946	"19"
2.5	837	"18"
2.5	2064	"17"
2.5	1584	"16"
2.5	1340	"15"
2.5	1275	"14"
2.5	904	"13"
2.5	1695	"12"
2.5	1965	"11"
2.5	1805	"10"
2.5	3504	"1"
2.6	195	"Y"
2.6	1743	"X"
2.6	2500	"9"
2.6	2472	"8"
2.6	2800	"7"
2.6	2934	"6"
2.6	2790	"5"
2.6	2481	"4"
2.6	2903	"3"
2.6	1427	"22"
2.6	801	"21"
2.6	1705	"20"
2.6	4123	"2"
2.6	2768	"19"
2.6	1208	"18"
2.6	2882	"17"
2.6	2396	"16"
2.6	1897	"15"
2.6	1797	"14"
2.6	1321	"13"
2.6	2535	"12"
2.6	2971	"11"
2.6	2704	"10"
2.6	5078	"1"
2.7	234	"Y"
2.7	2242	"X"
2.7	3430	"9"
2.7	3368	"8"
2.7	4106	"7"
2.7	3953	"6"
2.7	3793	"5"
2.7	3335	"4"
2.7	3981	"3"
2.7	1909	"22"
2.7	1037	"21"
2.7	2364	"20"
2.7	5556	"2"
2.7	3999	"19"
2.7	1711	"18"
2.7	4124	"17"
2.7	3389	"16"
2.7	2582	"15"
2.7	2544	"14"
2.7	1806	"13"
2.7	3449	"12"
2.7	3772	"11"
2.7	3578	"10"
2.7	6888	"1"
2.8	275	"Y"
2.8	2818	"X"
2.8	4451	"9"
2.8	4327	"8"
2.8	5061	"7"
2.8	5192	"6"
2.8	4942	"5"
2.8	4298	"4"
2.8	5166	"3"
2.8	2441	"22"
2.8	1392	"21"
2.8	3077	"20"
2.8	7369	"2"
2.8	5338	"19"
2.8	2134	"18"
2.8	5587	"17"
2.8	4302	"16"
2.8	3506	"15"
2.8	3300	"14"
2.8	2343	"13"
2.8	4668	"12"
2.8	5184	"11"
2.8	4834	"10"
2.8	9149	"1"
2.9	322	"Y"
2.9	3396	"X"
2.9	5522	"9"
2.9	5302	"8"
2.9	6489	"7"
2.9	6420	"6"
2.9	6154	"5"
2.9	5210	"4"
2.9	6533	"3"
2.9	3140	"22"
2.9	1653	"21"
2.9	3840	"20"
2.9	8815	"2"
2.9	6764	"19"
2.9	2700	"18"
2.9	7067	"17"
2.9	5352	"16"
2.9	4294	"15"
2.9	4147	"14"
2.9	2789	"13"
2.9	5621	"12"
2.9	6407	"11"
2.9	5847	"10"
2.9	11574	"1"
3	336	"Y"
3	3781	"X"
3	6712	"9"
3	6347	"8"
3	7649	"7"
3	7947	"6"
3	7316	"5"
3	6170	"4"
3	7617	"3"
3	3796	"22"
3	1910	"21"
3	4542	"20"
3	10779	"2"
3	8132	"19"
3	3145	"18"
3	8311	"17"
3	6345	"16"
3	5159	"15"
3	4904	"14"
3	3417	"13"
3	6829	"12"
3	7761	"11"
3	6738	"10"
3	13946	"1"
3.1	409	"Y"
3.1	4162	"X"
3.1	1	"MT"
3.1	7641	"9"
3.1	7080	"8"
3.1	8722	"7"
3.1	9018	"6"
3.1	8237	"5"
3.1	7103	"4"
3.1	8762	"3"
3.1	4202	"22"
3.1	2162	"21"
