"UMAP1" "UMAP2" "Class" "Assembly" "Tissue"
"1" -3.8365263536752 1.5423524982958 "Amphibia" "aEleCoq1" "Multiple"
"4" -3.85248657019742 1.53065806699086 "Amphibia" "aEngPut4" "Multiple"
"7" -4.10795326979764 1.76372462582875 "Amphibia" "aHypRig1" "Multiple"
"10" -3.81324191840298 1.59513455701162 "Amphibia" "aPelFus1" "Blood, muscle"
"13" -4.14851113112576 1.72229129147817 "Amphibia" "aPseCor3" "Organ"
"16" -3.6984967783273 1.43060046506215 "Amphibia" "aSpeBom1" "Muscle"
"19" 2.48842195717685 2.84103852582265 "Aves" "bAgePho1" "Brain"
"22" 2.30590204445713 2.94652110410024 "Aves" "bAmmCau1" "Blood"
"25" 2.25348428933017 2.85827428174306 "Aves" "bAmmNel1" "Blood"
"28" 1.67735342232578 1.57595568967153 "Aves" "bAptMan1" "Blood"
"31" 2.03375200478427 1.72965985608388 "Aves" "bCalNic1" "Blood, muscle"
"34" 1.81787542549961 0.894039929631244 "Aves" "bColLiv1" "Blood"
"37" 2.22207025734775 1.67937070203115 "Aves" "bDixPip1" "Muscle"
"40" 1.05401281563632 0.429903805974018 "Aves" "bDroNov1" "Blood"
"43" 1.7715001508414 1.88537055325795 "Aves" "bGavSte3" "Muscle"
"46" 2.20219186989658 2.27817040753652 "Aves" "bHaeMex1" "Blood"
"49" 2.3677783414542 2.91157895398427 "Aves" "bHelExo1" "Blood"
"52" 2.30825666634433 2.05266314816762 "Aves" "bLatDis1" "Blood, muscle"
"55" 2.34955457894199 2.94658738446523 "Aves" "bMelGeo1" "Blood"
"58" 2.07245115486972 1.98120957684804 "Aves" "bPtePen1" "Organ"
"61" 1.28852133004062 0.663798154118549 "Aves" "bRisTri1" "Blood"
"64" 2.24777082650058 2.47829562497426 "Aves" "bTaeGut1.4" ""
"67" -2.84887071402676 -0.132054507014264 "Actinopterygii" "fAmiCal2" "Multiple"
"70" -2.60214658530362 -0.296455561396588 "Actinopterygii" "fChaTrf1" "Organ"
"73" 0.724521677178073 -1.81331270861338 "Actinopterygii" "fConCon1" "Multiple"
"76" -3.49363609107144 1.1206873066454 "Actinopterygii" "fHopMal1" "Blood"
"79" -2.65667672904141 -0.0568439357252011 "Actinopterygii" "fLabMix1" "Multiple"
"82" -3.78340884001858 1.8863819248705 "Sarcopterygii" "fLatCha1" "Blood"
"85" 0.414281408470798 -1.75126665758799 "Actinopterygii" "fLepOcu1" "Blood"
"88" -4.16383095534451 1.8649237759142 "Actinopterygii" "fNeoGra1" "Blood"
"91" -2.45202632697232 0.27089864087392 "Actinopterygii" "fOsmEpe2" "Multiple"
"94" -2.11233087332852 0.226815999272358 "Actinopterygii" "fPunPun2" "Multiple"
"97" -2.31797309668667 0.0216577656297794 "Actinopterygii" "fSalBra1" "Blood, organ"
"100" -2.42153878958828 0.20402795148183 "Actinopterygii" "fSarPil1" "Multiple"
"103" -2.10902972968228 0.0323970921068302 "Actinopterygii" "fScoJap1" "Multiple"
"106" -2.82076259406216 0.120648205998432 "Actinopterygii" "fTriRos1" "Muscle, organ"
"109" 0.0105853482901335 -1.55052107500743 "Human" "GRCh38.p14" "N/A"
"112" 0.346598665398288 -2.23167723345469 "Mammalia" "mBalAcu1" "Multiple"
"115" 1.83447698799961 -0.591024576899517 "Mammalia" "mCamDro1" "Blood"
"118" 1.9606509610831 -0.542472063776959 "Mammalia" "mCanLup2" "Other"
"121" 0.0543475553213835 -1.12517660784434 "Mammalia" "mChiNiv1" "Multiple"
"124" 2.1205277845084 1.20596677136708 "Mammalia" "mCynVol1" "Organ"
"127" -0.324614484626126 -2.50686854052256 "Mammalia" "mDelDel1" "Multiple"
"130" 1.98270658699863 0.885361493351947 "Mammalia" "mEleMax1" "Fibroblast"
"133" 0.511346857231784 -1.27126997637462 "Mammalia" "mEriEur2" "Multiple"
"136" 1.66138986794345 -0.941281496760357 "Mammalia" "mEscRob2" "Other"
"139" 1.47775987831943 -0.286482035395611 "Mammalia" "mEubGla1" "Organ"
"142" -0.00511308463222981 -2.29089850115489 "Mammalia" "mGloMel1" "Multiple"
"145" 1.13163236824863 -0.280768572566021 "Mammalia" "mGorGor1" "Fibroblast"
"148" 1.93651632515781 -0.242148577448834 "Mammalia" "mHipAmp2" "Organ"
"151" -0.0692429140389681 -2.3434240214796 "Mammalia" "mKogBre1" "Fibroblast"
"154" 0.742642442864108 -2.17894095110606 "Mammalia" "mLagAlb1" "Multiple"
"157" -0.510917623359036 -1.93884199785899 "Mammalia" "mMacNem1" "Blood"
"160" 1.74642423836582 0.157393277409565 "Mammalia" "mManPen7" "Fibroblast"
"163" 2.03012804238193 1.33232909512807 "Mammalia" "mMarFla1" "Fat"
"166" 1.61717371193759 -0.282284914729107 "Mammalia" "mMesDen1" "Muscle"
"169" 1.97270158974521 0.565465749028217 "Mammalia" "mMonDom1" "Organ"
"172" 0.366946260613132 -2.19698828386973 "Mammalia" "mMusLut2" "Blood"
"175" 0.191780130547214 -2.3928338878126 "Mammalia" "mMyoDau2" "Multiple"
"178" -0.425601442176175 -2.06561106371592 "Mammalia" "mNeoNeb1" "Blood"
"181" 0.209631483238864 -1.10794752764415 "Mammalia" "mNycCou1" "Organ"
"184" 1.07617716042392 -1.61735743212413 "Mammalia" "mOchPri1" "Muscle"
"187" 1.00903658120029 -0.397662340876568 "Mammalia" "mPanPan1" "Fibroblast"
"190" 1.31808618752353 -0.6263658397169 "Mammalia" "mPanTro3" "Blood"
"193" 0.978917638939548 -0.862752138850201 "Mammalia" "mPonAbe1" "Fibroblast"
"196" 1.01754621712558 -0.790091692683209 "Mammalia" "mPonPyg2" "Fibroblast"
"199" 1.45320371834629 -0.858491122004498 "Mammalia" "mPseCra1" "Fibroblast"
"202" 1.18660501686924 -1.19600313830088 "Mammalia" "mSorAra1" "Muscle, organ"
"205" 0.715224306267428 -0.967744051691998 "Mammalia" "mSymSyn1" "Blood"
"208" -2.11403270514615 -0.502358614680279 "Reptilia" "rAllMis1" "Blood"
"211" -1.02264257224209 -0.81154936480235 "Reptilia" "rAnoSag1" "Blood, organ"
"214" 1.63181452004306 0.222007573369037 "Reptilia" "rCanAsp1" "Organ"
