"mp" "length" "chromosome" "type" "genome_id" "prop"
"1" 1 0.125 NA "GC" "Hypothetical" 0.00125
"2" 1.5 4 "chr3" "GC" "hs1" 1.29521666083326e-09
"3" 1.6 4 "chr12" "GC" "hs1" 1.29521666083326e-09
"4" 1.6 2 "chr14" "GC" "hs1" 6.47608330416632e-10
"5" 1.6 2 "chr16" "GC" "hs1" 6.47608330416632e-10
"6" 1.6 2 "chr7" "GC" "hs1" 6.47608330416632e-10
"7" 1.6 2 "chr8" "GC" "hs1" 6.47608330416632e-10
"8" 1.7 6 "chr1" "GC" "hs1" 1.9428249912499e-09
"9" 1.7 2 "chr10" "GC" "hs1" 6.47608330416632e-10
"10" 1.7 2 "chr11" "GC" "hs1" 6.47608330416632e-10
"11" 1.7 2 "chr12" "GC" "hs1" 6.47608330416632e-10
"12" 1.7 4 "chr15" "GC" "hs1" 1.29521666083326e-09
"13" 1.7 6 "chr16" "GC" "hs1" 1.9428249912499e-09
"14" 1.7 4 "chr18" "GC" "hs1" 1.29521666083326e-09
"15" 1.7 6 "chr19" "GC" "hs1" 1.9428249912499e-09
"16" 1.7 10 "chr2" "GC" "hs1" 3.23804165208316e-09
"17" 1.7 4 "chr20" "GC" "hs1" 1.29521666083326e-09
"18" 1.7 2 "chr22" "GC" "hs1" 6.47608330416632e-10
"19" 1.7 8 "chr3" "GC" "hs1" 2.59043332166653e-09
"20" 1.7 6 "chr4" "GC" "hs1" 1.9428249912499e-09
"21" 1.7 8 "chr5" "GC" "hs1" 2.59043332166653e-09
"22" 1.7 2 "chr6" "GC" "hs1" 6.47608330416632e-10
"23" 1.7 2 "chr8" "GC" "hs1" 6.47608330416632e-10
"24" 1.7 4 "chr9" "GC" "hs1" 1.29521666083326e-09
"25" 1.7 10 "chrX" "GC" "hs1" 3.23804165208316e-09
"26" 1.7 2 "chrY" "GC" "hs1" 6.47608330416632e-10
"27" 1.8 18 "chr1" "GC" "hs1" 5.82847497374969e-09
"28" 1.8 10 "chr10" "GC" "hs1" 3.23804165208316e-09
"29" 1.8 22 "chr11" "GC" "hs1" 7.12369163458295e-09
"30" 1.8 24 "chr12" "GC" "hs1" 7.77129996499959e-09
"31" 1.8 6 "chr13" "GC" "hs1" 1.9428249912499e-09
"32" 1.8 8 "chr14" "GC" "hs1" 2.59043332166653e-09
"33" 1.8 2 "chr15" "GC" "hs1" 6.47608330416632e-10
"34" 1.8 8 "chr16" "GC" "hs1" 2.59043332166653e-09
"35" 1.8 10 "chr17" "GC" "hs1" 3.23804165208316e-09
"36" 1.8 4 "chr18" "GC" "hs1" 1.29521666083326e-09
"37" 1.8 12 "chr19" "GC" "hs1" 3.88564998249979e-09
"38" 1.8 22 "chr2" "GC" "hs1" 7.12369163458295e-09
"39" 1.8 6 "chr20" "GC" "hs1" 1.9428249912499e-09
"40" 1.8 10 "chr21" "GC" "hs1" 3.23804165208316e-09
"41" 1.8 8 "chr22" "GC" "hs1" 2.59043332166653e-09
"42" 1.8 24 "chr3" "GC" "hs1" 7.77129996499959e-09
"43" 1.8 22 "chr4" "GC" "hs1" 7.12369163458295e-09
"44" 1.8 16 "chr5" "GC" "hs1" 5.18086664333306e-09
"45" 1.8 10 "chr6" "GC" "hs1" 3.23804165208316e-09
"46" 1.8 10 "chr7" "GC" "hs1" 3.23804165208316e-09
"47" 1.8 8 "chr8" "GC" "hs1" 2.59043332166653e-09
"48" 1.8 14 "chr9" "GC" "hs1" 4.53325831291643e-09
"49" 1.8 38 "chrX" "GC" "hs1" 1.2304558277916e-08
"50" 1.8 8 "chrY" "GC" "hs1" 2.59043332166653e-09
"51" 1.9 88 "chr1" "GC" "hs1" 2.84947665383318e-08
"52" 1.9 42 "chr10" "GC" "hs1" 1.35997749387493e-08
"53" 1.9 54 "chr11" "GC" "hs1" 1.74854249212491e-08
"54" 1.9 38 "chr12" "GC" "hs1" 1.2304558277916e-08
"55" 1.9 30 "chr13" "GC" "hs1" 9.71412495624948e-09
"56" 1.9 38 "chr14" "GC" "hs1" 1.2304558277916e-08
"57" 1.9 36 "chr15" "GC" "hs1" 1.16569499474994e-08
"58" 1.9 44 "chr16" "GC" "hs1" 1.42473832691659e-08
"59" 1.9 32 "chr17" "GC" "hs1" 1.03617332866661e-08
"60" 1.9 30 "chr18" "GC" "hs1" 9.71412495624948e-09
"61" 1.9 38 "chr19" "GC" "hs1" 1.2304558277916e-08
"62" 1.9 102 "chr2" "GC" "hs1" 3.30280248512482e-08
"63" 1.9 30 "chr20" "GC" "hs1" 9.71412495624948e-09
"64" 1.9 10 "chr21" "GC" "hs1" 3.23804165208316e-09
"65" 1.9 28 "chr22" "GC" "hs1" 9.06651662583285e-09
"66" 1.9 64 "chr3" "GC" "hs1" 2.07234665733322e-08
"67" 1.9 68 "chr4" "GC" "hs1" 2.20186832341655e-08
"68" 1.9 50 "chr5" "GC" "hs1" 1.61902082604158e-08
"69" 1.9 40 "chr6" "GC" "hs1" 1.29521666083326e-08
"70" 1.9 50 "chr7" "GC" "hs1" 1.61902082604158e-08
"71" 1.9 80 "chr8" "GC" "hs1" 2.59043332166653e-08
"72" 1.9 44 "chr9" "GC" "hs1" 1.42473832691659e-08
"73" 1.9 60 "chrX" "GC" "hs1" 1.9428249912499e-08
"74" 1.9 16 "chrY" "GC" "hs1" 5.18086664333306e-09
"75" 2 248 "chr1" "GC" "hs1" 8.03034329716624e-08
"76" 2 138 "chr10" "GC" "hs1" 4.46849747987476e-08
"77" 2 124 "chr11" "GC" "hs1" 4.01517164858312e-08
"78" 2 128 "chr12" "GC" "hs1" 4.14469331466645e-08
"79" 2 84 "chr13" "GC" "hs1" 2.71995498774986e-08
"80" 2 106 "chr14" "GC" "hs1" 3.43232415120815e-08
"81" 2 106 "chr15" "GC" "hs1" 3.43232415120815e-08
"82" 2 92 "chr16" "GC" "hs1" 2.97899831991651e-08
"83" 2 112 "chr17" "GC" "hs1" 3.62660665033314e-08
"84" 2 58 "chr18" "GC" "hs1" 1.87806415820823e-08
"85" 2 84 "chr19" "GC" "hs1" 2.71995498774986e-08
"86" 2 194 "chr2" "GC" "hs1" 6.28180080504133e-08
"87" 2 86 "chr20" "GC" "hs1" 2.78471582079152e-08
"88" 2 36 "chr21" "GC" "hs1" 1.16569499474994e-08
"89" 2 64 "chr22" "GC" "hs1" 2.07234665733322e-08
"90" 2 144 "chr3" "GC" "hs1" 4.66277997899975e-08
"91" 2 136 "chr4" "GC" "hs1" 4.4037366468331e-08
"92" 2 154 "chr5" "GC" "hs1" 4.98658414420807e-08
"93" 2 144 "chr6" "GC" "hs1" 4.66277997899975e-08
"94" 2 110 "chr7" "GC" "hs1" 3.56184581729148e-08
"95" 2 122 "chr8" "GC" "hs1" 3.95041081554146e-08
"96" 2 100 "chr9" "GC" "hs1" 3.23804165208316e-08
"97" 2 156 "chrX" "GC" "hs1" 5.05134497724973e-08
"98" 2 34 "chrY" "GC" "hs1" 1.10093416170827e-08
"99" 2 0.125 NA "GC" "Hypothetical" 0.00125
"100" 2.1 548 "chr1" "GC" "hs1" 1.77444682534157e-07
"101" 2.1 306 "chr10" "GC" "hs1" 9.90840745537447e-08
"102" 2.1 380 "chr11" "GC" "hs1" 1.2304558277916e-07
"103" 2.1 332 "chr12" "GC" "hs1" 1.07502982849161e-07
"104" 2.1 204 "chr13" "GC" "hs1" 6.60560497024965e-08
"105" 2.1 234 "chr14" "GC" "hs1" 7.5770174658746e-08
"106" 2.1 256 "chr15" "GC" "hs1" 8.28938662933289e-08
"107" 2.1 230 "chr16" "GC" "hs1" 7.44749579979127e-08
"108" 2.1 262 "chr17" "GC" "hs1" 8.48366912845788e-08
"109" 2.1 188 "chr18" "GC" "hs1" 6.08751830591634e-08
"110" 2.1 256 "chr19" "GC" "hs1" 8.28938662933289e-08
"111" 2.1 542 "chr2" "GC" "hs1" 1.75501857542907e-07
"112" 2.1 216 "chr20" "GC" "hs1" 6.99416996849963e-08
"113" 2.1 104 "chr21" "GC" "hs1" 3.36756331816649e-08
"114" 2.1 164 "chr22" "GC" "hs1" 5.31038830941638e-08
"115" 2.1 368 "chr3" "GC" "hs1" 1.1915993279666e-07
"116" 2.1 394 "chr4" "GC" "hs1" 1.27578841092077e-07
"117" 2.1 374 "chr5" "GC" "hs1" 1.2110275778791e-07
"118" 2.1 330 "chr6" "GC" "hs1" 1.06855374518744e-07
"119" 2.1 330 "chr7" "GC" "hs1" 1.06855374518744e-07
"120" 2.1 346 "chr8" "GC" "hs1" 1.12036241162077e-07
"121" 2.1 258 "chr9" "GC" "hs1" 8.35414746237456e-08
"122" 2.1 336 "chrX" "GC" "hs1" 1.08798199509994e-07
"123" 2.1 62 "chrY" "GC" "hs1" 2.00758582429156e-08
"124" 2.2 1224 "chr1" "GC" "hs1" 3.96336298214979e-07
"125" 2.2 712 "chr10" "GC" "hs1" 2.30548565628321e-07
"126" 2.2 800 "chr11" "GC" "hs1" 2.59043332166653e-07
"127" 2.2 670 "chr12" "GC" "hs1" 2.16948790689572e-07
"128" 2.2 438 "chr13" "GC" "hs1" 1.41826224361242e-07
"129" 2.2 518 "chr14" "GC" "hs1" 1.67730557577908e-07
"130" 2.2 436 "chr15" "GC" "hs1" 1.41178616030826e-07
"131" 2.2 642 "chr16" "GC" "hs1" 2.07882274063739e-07
"132" 2.2 646 "chr17" "GC" "hs1" 2.09177490724572e-07
"133" 2.2 346 "chr18" "GC" "hs1" 1.12036241162077e-07
"134" 2.2 644 "chr19" "GC" "hs1" 2.08529882394156e-07
"135" 2.2 1108 "chr2" "GC" "hs1" 3.58775015050814e-07
"136" 2.2 492 "chr20" "GC" "hs1" 1.59311649282492e-07
"137" 2.2 238 "chr21" "GC" "hs1" 7.70653913195792e-08
"138" 2.2 382 "chr22" "GC" "hs1" 1.23693191109577e-07
"139" 2.2 786 "chr3" "GC" "hs1" 2.54510073853736e-07
"140" 2.2 710 "chr4" "GC" "hs1" 2.29900957297904e-07
"141" 2.2 774 "chr5" "GC" "hs1" 2.50624423871237e-07
"142" 2.2 772 "chr6" "GC" "hs1" 2.4997681554082e-07
"143" 2.2 806 "chr7" "GC" "hs1" 2.60986157157903e-07
