"mp" "length" "chromosome" "type" "genome_id"
"1" NA 96166571 "chr1" "GC" "hs1"
"2" NA 55359481 "chr10" "GC" "hs1"
"3" NA 55885058 "chr11" "GC" "hs1"
"4" NA 54275482 "chr12" "GC" "hs1"
"5" NA 37772797 "chr13" "GC" "hs1"
"6" NA 36193037 "chr14" "GC" "hs1"
"7" NA 35578844 "chr15" "GC" "hs1"
"8" NA 36472718 "chr16" "GC" "hs1"
"9" NA 37575444 "chr17" "GC" "hs1"
"10" NA 31856106 "chr18" "GC" "hs1"
"11" NA 26966681 "chr19" "GC" "hs1"
"12" NA 96769083 "chr2" "GC" "hs1"
"13" NA 28010605 "chr20" "GC" "hs1"
"14" NA 15621871 "chr21" "GC" "hs1"
"15" NA 17602784 "chr22" "GC" "hs1"
"16" NA 78577742 "chr3" "GC" "hs1"
"17" NA 72568001 "chr4" "GC" "hs1"
"18" NA 70716480 "chr5" "GC" "hs1"
"19" NA 67360020 "chr6" "GC" "hs1"
"20" NA 64696843 "chr7" "GC" "hs1"
"21" NA 58133960 "chr8" "GC" "hs1"
"22" NA 50270473 "chr9" "GC" "hs1"
"23" NA 7350 "chrM" "GC" "hs1"
"24" NA 61221521 "chrX" "GC" "hs1"
"25" NA 9262721 "chrY" "GC" "hs1"
"26" NA 152789851 "chr1" "None" "hs1"
"27" NA 145424446 "chr2" "None" "hs1"
"28" NA 119717817 "chr3" "None" "hs1"
"29" NA 117646554 "chr4" "None" "hs1"
"30" NA 110821779 "chr5" "None" "hs1"
"31" NA 103445959 "chr6" "None" "hs1"
"32" NA 94649130 "chr7" "None" "hs1"
"33" NA 87004676 "chr8" "None" "hs1"
"34" NA 88124244 "chr9" "None" "hs1"
"35" NA 78437941 "chr10" "None" "hs1"
"36" NA 79201564 "chr11" "None" "hs1"
"37" NA 78999827 "chr12" "None" "hs1"
"38" NA 76591531 "chr13" "None" "hs1"
"39" NA 70850681 "chr14" "None" "hs1"
"40" NA 66412345 "chr15" "None" "hs1"
"41" NA 53865627 "chr16" "None" "hs1"
"42" NA 45681997 "chr17" "None" "hs1"
"43" NA 48517179 "chr18" "None" "hs1"
"44" NA 31650935 "chr19" "None" "hs1"
"45" NA 36433562 "chr20" "None" "hs1"
"46" NA 31088112 "chr21" "None" "hs1"
"47" NA 33215684 "chr22" "None" "hs1"
"48" NA 94819374 "chrX" "None" "hs1"
"49" NA 47964694 "chrY" "None" "hs1"
"50" NA 9219 "chrM" "None" "hs1"
"51" NA 1 NA "GC" "Hypothetical"
"52" NA 1 NA "None" "Hypothetical"
