"mp"	"count"	"chromosome"	"dinucleotide"	"id"
NA	5170398	"chr22"	"CpC"	"hg38"
NA	17046046	"chr4"	"CpC"	"hg38"
NA	14868142	"chrX"	"CpC"	"hg38"
NA	8877732	"chr13"	"CpC"	"hg38"
NA	19219576	"chr3"	"CpC"	"hg38"
NA	9957514	"chr16"	"CpC"	"hg38"
NA	8084486	"chr19"	"CpC"	"hg38"
NA	17262056	"chr5"	"CpC"	"hg38"
NA	2225354	"chrY"	"CpC"	"hg38"
NA	13675388	"chr12"	"CpC"	"hg38"
NA	9184832	"chr15"	"CpC"	"hg38"
NA	24933526	"chr1"	"CpC"	"hg38"
NA	14339644	"chr8"	"CpC"	"hg38"
NA	7544814	"chr18"	"CpC"	"hg38"
NA	7477620	"chr20"	"CpC"	"hg38"
NA	16481806	"chr6"	"CpC"	"hg38"
NA	14321682	"chr11"	"CpC"	"hg38"
NA	9227926	"chr14"	"CpC"	"hg38"
NA	24082628	"chr2"	"CpC"	"hg38"
NA	12835214	"chr9"	"CpC"	"hg38"
NA	10403252	"chr17"	"CpC"	"hg38"
NA	4003376	"chr21"	"CpC"	"hg38"
NA	16225312	"chr7"	"CpC"	"hg38"
NA	3542	"chrM"	"CpC"	"hg38"
NA	14171558	"chr10"	"CpC"	"hg38"
NA	4132496	"chr22"	"GpC"	"hg38"
NA	14304652	"chr4"	"GpC"	"hg38"
NA	12150336	"chrX"	"GpC"	"hg38"
NA	7518240	"chr13"	"GpC"	"hg38"
NA	15898626	"chr3"	"GpC"	"hg38"
NA	8148350	"chr16"	"GpC"	"hg38"
NA	6357276	"chr19"	"GpC"	"hg38"
NA	14311108	"chr5"	"GpC"	"hg38"
NA	1782368	"chrY"	"GpC"	"hg38"
NA	11222242	"chr12"	"GpC"	"hg38"
NA	7589954	"chr15"	"GpC"	"hg38"
NA	20290544	"chr1"	"GpC"	"hg38"
NA	11904230	"chr8"	"GpC"	"hg38"
NA	6455548	"chr18"	"GpC"	"hg38"
NA	6130966	"chr20"	"GpC"	"hg38"
NA	13621690	"chr6"	"GpC"	"hg38"
NA	11688478	"chr11"	"GpC"	"hg38"
NA	7557078	"chr14"	"GpC"	"hg38"
NA	19920070	"chr2"	"GpC"	"hg38"
NA	10549768	"chr9"	"GpC"	"hg38"
NA	8499620	"chr17"	"GpC"	"hg38"
NA	3274520	"chr21"	"GpC"	"hg38"
NA	13466892	"chr7"	"GpC"	"hg38"
NA	1422	"chrM"	"GpC"	"hg38"
NA	11679736	"chr10"	"GpC"	"hg38"
NA	5162272	"chr22"	"GpG"	"hg38"
NA	17142656	"chr4"	"GpG"	"hg38"
NA	15076984	"chrX"	"GpG"	"hg38"
NA	8953074	"chr13"	"GpG"	"hg38"
NA	19347238	"chr3"	"GpG"	"hg38"
NA	10048298	"chr16"	"GpG"	"hg38"
NA	8106160	"chr19"	"GpG"	"hg38"
NA	17297050	"chr5"	"GpG"	"hg38"
NA	2225878	"chrY"	"GpG"	"hg38"
NA	13728082	"chr12"	"GpG"	"hg38"
NA	9274046	"chr15"	"GpG"	"hg38"
NA	24982624	"chr1"	"GpG"	"hg38"
NA	14432028	"chr8"	"GpG"	"hg38"
NA	7817166	"chr18"	"GpG"	"hg38"
NA	7632914	"chr20"	"GpG"	"hg38"
NA	16526992	"chr6"	"GpG"	"hg38"
NA	14496912	"chr11"	"GpG"	"hg38"
NA	9239902	"chr14"	"GpG"	"hg38"
NA	24179474	"chr2"	"GpG"	"hg38"
NA	12918724	"chr9"	"GpG"	"hg38"
NA	10588932	"chr17"	"GpG"	"hg38"
NA	3957106	"chr21"	"GpG"	"hg38"
NA	16266896	"chr7"	"GpG"	"hg38"
NA	850	"chrM"	"GpG"	"hg38"
NA	14236434	"chr10"	"GpG"	"hg38"
1.5	4	"chr3"	"CpG"	"hg38"
1.6	4	"chr12"	"CpG"	"hg38"
1.6	2	"chr14"	"CpG"	"hg38"
1.6	2	"chr16"	"CpG"	"hg38"
1.6	2	"chr7"	"CpG"	"hg38"
1.6	2	"chr8"	"CpG"	"hg38"
1.7	6	"chr1"	"CpG"	"hg38"
1.7	2	"chr10"	"CpG"	"hg38"
1.7	2	"chr11"	"CpG"	"hg38"
1.7	2	"chr12"	"CpG"	"hg38"
1.7	4	"chr15"	"CpG"	"hg38"
1.7	6	"chr16"	"CpG"	"hg38"
1.7	4	"chr18"	"CpG"	"hg38"
1.7	6	"chr19"	"CpG"	"hg38"
1.7	10	"chr2"	"CpG"	"hg38"
1.7	4	"chr20"	"CpG"	"hg38"
1.7	2	"chr22"	"CpG"	"hg38"
1.7	8	"chr3"	"CpG"	"hg38"
1.7	6	"chr4"	"CpG"	"hg38"
1.7	8	"chr5"	"CpG"	"hg38"
1.7	2	"chr6"	"CpG"	"hg38"
1.7	2	"chr8"	"CpG"	"hg38"
1.7	4	"chr9"	"CpG"	"hg38"
1.7	10	"chrX"	"CpG"	"hg38"
1.7	2	"chrY"	"CpG"	"hg38"
1.8	18	"chr1"	"CpG"	"hg38"
1.8	10	"chr10"	"CpG"	"hg38"
1.8	22	"chr11"	"CpG"	"hg38"
1.8	24	"chr12"	"CpG"	"hg38"
1.8	6	"chr13"	"CpG"	"hg38"
1.8	8	"chr14"	"CpG"	"hg38"
1.8	2	"chr15"	"CpG"	"hg38"
1.8	8	"chr16"	"CpG"	"hg38"
1.8	10	"chr17"	"CpG"	"hg38"
1.8	4	"chr18"	"CpG"	"hg38"
1.8	12	"chr19"	"CpG"	"hg38"
1.8	22	"chr2"	"CpG"	"hg38"
1.8	6	"chr20"	"CpG"	"hg38"
1.8	10	"chr21"	"CpG"	"hg38"
1.8	8	"chr22"	"CpG"	"hg38"
1.8	24	"chr3"	"CpG"	"hg38"
1.8	22	"chr4"	"CpG"	"hg38"
1.8	16	"chr5"	"CpG"	"hg38"
1.8	10	"chr6"	"CpG"	"hg38"
1.8	10	"chr7"	"CpG"	"hg38"
1.8	8	"chr8"	"CpG"	"hg38"
1.8	14	"chr9"	"CpG"	"hg38"
1.8	38	"chrX"	"CpG"	"hg38"
1.8	8	"chrY"	"CpG"	"hg38"
1.9	88	"chr1"	"CpG"	"hg38"
1.9	42	"chr10"	"CpG"	"hg38"
1.9	54	"chr11"	"CpG"	"hg38"
1.9	38	"chr12"	"CpG"	"hg38"
1.9	30	"chr13"	"CpG"	"hg38"
1.9	38	"chr14"	"CpG"	"hg38"
1.9	36	"chr15"	"CpG"	"hg38"
1.9	44	"chr16"	"CpG"	"hg38"
1.9	32	"chr17"	"CpG"	"hg38"
1.9	30	"chr18"	"CpG"	"hg38"
1.9	38	"chr19"	"CpG"	"hg38"
1.9	102	"chr2"	"CpG"	"hg38"
1.9	30	"chr20"	"CpG"	"hg38"
1.9	10	"chr21"	"CpG"	"hg38"
1.9	28	"chr22"	"CpG"	"hg38"
1.9	64	"chr3"	"CpG"	"hg38"
1.9	68	"chr4"	"CpG"	"hg38"
1.9	50	"chr5"	"CpG"	"hg38"
1.9	40	"chr6"	"CpG"	"hg38"
1.9	50	"chr7"	"CpG"	"hg38"
1.9	80	"chr8"	"CpG"	"hg38"
1.9	44	"chr9"	"CpG"	"hg38"
1.9	60	"chrX"	"CpG"	"hg38"
1.9	16	"chrY"	"CpG"	"hg38"
2	248	"chr1"	"CpG"	"hg38"
2	138	"chr10"	"CpG"	"hg38"
2	124	"chr11"	"CpG"	"hg38"
2	128	"chr12"	"CpG"	"hg38"
2	84	"chr13"	"CpG"	"hg38"
2	106	"chr14"	"CpG"	"hg38"
2	106	"chr15"	"CpG"	"hg38"
2	92	"chr16"	"CpG"	"hg38"
2	112	"chr17"	"CpG"	"hg38"
2	58	"chr18"	"CpG"	"hg38"
2	84	"chr19"	"CpG"	"hg38"
2	194	"chr2"	"CpG"	"hg38"
2	86	"chr20"	"CpG"	"hg38"
2	36	"chr21"	"CpG"	"hg38"
2	64	"chr22"	"CpG"	"hg38"
2	144	"chr3"	"CpG"	"hg38"
2	136	"chr4"	"CpG"	"hg38"
2	154	"chr5"	"CpG"	"hg38"
2	144	"chr6"	"CpG"	"hg38"
2	110	"chr7"	"CpG"	"hg38"
2	122	"chr8"	"CpG"	"hg38"
2	100	"chr9"	"CpG"	"hg38"
2	156	"chrX"	"CpG"	"hg38"
2	34	"chrY"	"CpG"	"hg38"
2.1	548	"chr1"	"CpG"	"hg38"
2.1	306	"chr10"	"CpG"	"hg38"
2.1	380	"chr11"	"CpG"	"hg38"
2.1	332	"chr12"	"CpG"	"hg38"
2.1	204	"chr13"	"CpG"	"hg38"
2.1	234	"chr14"	"CpG"	"hg38"
2.1	256	"chr15"	"CpG"	"hg38"
2.1	230	"chr16"	"CpG"	"hg38"
2.1	262	"chr17"	"CpG"	"hg38"
2.1	188	"chr18"	"CpG"	"hg38"
2.1	256	"chr19"	"CpG"	"hg38"
2.1	542	"chr2"	"CpG"	"hg38"
2.1	216	"chr20"	"CpG"	"hg38"
2.1	104	"chr21"	"CpG"	"hg38"
2.1	164	"chr22"	"CpG"	"hg38"
2.1	368	"chr3"	"CpG"	"hg38"
2.1	394	"chr4"	"CpG"	"hg38"
2.1	374	"chr5"	"CpG"	"hg38"
2.1	330	"chr6"	"CpG"	"hg38"
2.1	330	"chr7"	"CpG"	"hg38"
2.1	346	"chr8"	"CpG"	"hg38"
2.1	258	"chr9"	"CpG"	"hg38"
2.1	336	"chrX"	"CpG"	"hg38"
2.1	62	"chrY"	"CpG"	"hg38"
2.2	1224	"chr1"	"CpG"	"hg38"
2.2	712	"chr10"	"CpG"	"hg38"
2.2	800	"chr11"	"CpG"	"hg38"
2.2	670	"chr12"	"CpG"	"hg38"
2.2	438	"chr13"	"CpG"	"hg38"
2.2	518	"chr14"	"CpG"	"hg38"
2.2	436	"chr15"	"CpG"	"hg38"
2.2	642	"chr16"	"CpG"	"hg38"
2.2	646	"chr17"	"CpG"	"hg38"
2.2	346	"chr18"	"CpG"	"hg38"
2.2	644	"chr19"	"CpG"	"hg38"
2.2	1108	"chr2"	"CpG"	"hg38"
2.2	492	"chr20"	"CpG"	"hg38"
2.2	238	"chr21"	"CpG"	"hg38"
2.2	382	"chr22"	"CpG"	"hg38"
2.2	786	"chr3"	"CpG"	"hg38"
2.2	710	"chr4"	"CpG"	"hg38"
2.2	774	"chr5"	"CpG"	"hg38"
2.2	772	"chr6"	"CpG"	"hg38"
2.2	806	"chr7"	"CpG"	"hg38"
2.2	692	"chr8"	"CpG"	"hg38"
2.2	634	"chr9"	"CpG"	"hg38"
2.2	660	"chrX"	"CpG"	"hg38"
2.2	100	"chrY"	"CpG"	"hg38"
2.3	2522	"chr1"	"CpG"	"hg38"
2.3	1384	"chr10"	"CpG"	"hg38"
2.3	1502	"chr11"	"CpG"	"hg38"
2.3	1298	"chr12"	"CpG"	"hg38"
2.3	744	"chr13"	"CpG"	"hg38"
2.3	950	"chr14"	"CpG"	"hg38"
2.3	1002	"chr15"	"CpG"	"hg38"
2.3	1240	"chr16"	"CpG"	"hg38"
2.3	1320	"chr17"	"CpG"	"hg38"
2.3	666	"chr18"	"CpG"	"hg38"
2.3	1342	"chr19"	"CpG"	"hg38"
2.3	2148	"chr2"	"CpG"	"hg38"
2.3	936	"chr20"	"CpG"	"hg38"
2.3	400	"chr21"	"CpG"	"hg38"
2.3	618	"chr22"	"CpG"	"hg38"
2.3	1464	"chr3"	"CpG"	"hg38"
2.3	1304	"chr4"	"CpG"	"hg38"
2.3	1454	"chr5"	"CpG"	"hg38"
2.3	1466	"chr6"	"CpG"	"hg38"
2.3	1496	"chr7"	"CpG"	"hg38"
2.3	1340	"chr8"	"CpG"	"hg38"
2.3	1216	"chr9"	"CpG"	"hg38"
2.3	1236	"chrX"	"CpG"	"hg38"
2.3	138	"chrY"	"CpG"	"hg38"
2.4	4436	"chr1"	"CpG"	"hg38"
2.4	2440	"chr10"	"CpG"	"hg38"
2.4	2532	"chr11"	"CpG"	"hg38"
2.4	2208	"chr12"	"CpG"	"hg38"
2.4	1286	"chr13"	"CpG"	"hg38"
2.4	1644	"chr14"	"CpG"	"hg38"
2.4	1600	"chr15"	"CpG"	"hg38"
2.4	2178	"chr16"	"CpG"	"hg38"
2.4	2510	"chr17"	"CpG"	"hg38"
2.4	1090	"chr18"	"CpG"	"hg38"
2.4	2430	"chr19"	"CpG"	"hg38"
2.4	3562	"chr2"	"CpG"	"hg38"
2.4	1588	"chr20"	"CpG"	"hg38"
2.4	708	"chr21"	"CpG"	"hg38"
2.4	1250	"chr22"	"CpG"	"hg38"
2.4	2548	"chr3"	"CpG"	"hg38"
2.4	2162	"chr4"	"CpG"	"hg38"
2.4	2536	"chr5"	"CpG"	"hg38"
2.4	2578	"chr6"	"CpG"	"hg38"
2.4	2570	"chr7"	"CpG"	"hg38"
2.4	2208	"chr8"	"CpG"	"hg38"
2.4	2180	"chr9"	"CpG"	"hg38"
2.4	1800	"chrX"	"CpG"	"hg38"
2.4	232	"chrY"	"CpG"	"hg38"
2.5	7008	"chr1"	"CpG"	"hg38"
2.5	3610	"chr10"	"CpG"	"hg38"
