"Distance" "MP" "Class"
"1" 9997 95.6 "Mammalia"
"2" 9980 93.4 "Mammalia"
"3" 9929 91.4 "Mammalia"
"4" 9910 95 "Mammalia"
"5" 9902 96 "Mammalia"
"6" 9863 94.4 "Mammalia"
"7" 9823 95.3 "Mammalia"
"8" 9731 95.5 "Mammalia"
"9" 9709 91.9 "Mammalia"
"10" 9692 62.1 "Mammalia"
"11" 9545 65.6 "Mammalia"
"12" 9520 62.9 "Mammalia"
"13" 9507 62.7 "Mammalia"
"14" 9475 76.3 "Mammalia"
"15" 9421 78.3 "Mammalia"
"16" 9371 95 "Mammalia"
"17" 9322 94.4 "Mammalia"
"18" 9203 95.8 "Mammalia"
"19" 9089 96.9 "Mammalia"
"20" 9083 96.5 "Mammalia"
"21" 9080 95.8 "Mammalia"
"22" 9058 93 "Mammalia"
"23" 9007 85.4 "Mammalia"
"24" 8977 84.2 "Mammalia"
"25" 8878 94.6 "Mammalia"
"26" 8748 95.1 "Mammalia"
"27" 8742 96.8 "Mammalia"
"28" 8739 96.9 "Mammalia"
"29" 8732 97 "Mammalia"
"30" 8695 96.9 "Mammalia"
"31" 8672 97 "Mammalia"
"32" 8614 96.9 "Mammalia"
"33" 8586 97 "Mammalia"
"34" 8581 96.9 "Mammalia"
"35" 8577 96.7 "Mammalia"
"36" 8570 96.5 "Mammalia"
"37" 8556 96.2 "Mammalia"
"38" 8536 96 "Mammalia"
"39" 8525 96.4 "Mammalia"
"40" 8496 96.5 "Mammalia"
"41" 8492 96.4 "Mammalia"
"42" 8428 96.5 "Mammalia"
"43" 8421 96.2 "Mammalia"
"44" 8404 95.8 "Mammalia"
"45" 8374 95.7 "Mammalia"
"46" 8319 95.1 "Mammalia"
"47" 8245 95.7 "Mammalia"
"48" 8230 96.2 "Mammalia"
"49" 8227 96.3 "Mammalia"
"50" 8153 96.4 "Mammalia"
"51" 8113 96.5 "Mammalia"
"52" 8081 96.4 "Mammalia"
"53" 8007 96 "Mammalia"
"54" 7961 95.7 "Mammalia"
"55" 7927 92.5 "Mammalia"
"56" 7919 78.4 "Mammalia"
"57" 7822 90.4 "Mammalia"
"58" 7805 95.5 "Mammalia"
"59" 7759 95.5 "Mammalia"
"60" 7709 96.9 "Mammalia"
"61" 7707 96.9 "Mammalia"
"62" 7631 96.1 "Mammalia"
"63" 7625 96.1 "Mammalia"
"64" 7530 94.5 "Mammalia"
"65" 7439 65.6 "Mammalia"
"66" 7315 5.3 "Mammalia"
"67" 7254 3.5 "Mammalia"
"68" 7207 3.4 "Mammalia"
"69" 7197 3 "Mammalia"
"70" 7192 2.5 "Mammalia"
"71" 7076 2.8 "Mammalia"
"72" 7064 4.3 "Mammalia"
"73" 7031 22.9 "Mammalia"
"74" 6828 81 "Mammalia"
"75" 6788 87 "Mammalia"
"76" 6779 82.5 "Mammalia"
"77" 6688 94.5 "Mammalia"
"78" 6670 96.1 "Mammalia"
"79" 6647 96.3 "Mammalia"
"80" 6638 96.3 "Mammalia"
"81" 6601 96.6 "Mammalia"
"82" 6594 96.8 "Mammalia"
"83" 6561 97 "Mammalia"
"84" 6410 97 "Mammalia"
"85" 6386 97.2 "Mammalia"
"86" 6374 96.9 "Mammalia"
"87" 6245 96.1 "Mammalia"
"88" 6229 95.5 "Mammalia"
"89" 6120 70.4 "Mammalia"
"90" 6093 71.4 "Mammalia"
"91" 6028 94.9 "Mammalia"
"92" 6019 95.5 "Mammalia"
"93" 5909 95.4 "Mammalia"
"94" 5841 95.5 "Mammalia"
"95" 5838 95.3 "Mammalia"
"96" 5834 95.6 "Mammalia"
"97" 5822 96 "Mammalia"
"98" 5789 96.2 "Mammalia"
"99" 5699 96.2 "Mammalia"
"100" 5645 95.5 "Mammalia"
"101" 5459 95 "Mammalia"
"102" 5449 92 "Mammalia"
"103" 5447 73.7 "Mammalia"
"104" 5437 36.8 "Mammalia"
"105" 5403 3.8 "Mammalia"
"106" 5279 33.3 "Mammalia"
"107" 5210 42.1 "Mammalia"
"108" 5191 42.6 "Mammalia"
"109" 5184 46.6 "Mammalia"
"110" 5112 54.5 "Mammalia"
"111" 5065 62.4 "Mammalia"
"112" 5033 65 "Mammalia"
"113" 4816 7.8 "Mammalia"
"114" 4603 5.8 "Mammalia"
"115" 4553 3 "Mammalia"
"116" 4446 3.8 "Mammalia"
"117" 4386 2.9 "Mammalia"
"118" 4255 3.4 "Mammalia"
"119" 4164 4.2 "Mammalia"
"120" 4138 4.6 "Mammalia"
"121" 4130 4 "Mammalia"
"122" 3980 3.9 "Mammalia"
"123" 3922 3 "Mammalia"
"124" 3898 3.7 "Mammalia"
"125" 3853 3 "Mammalia"
"126" 3312 2.8 "Mammalia"
"127" 3266 2.5 "Mammalia"
"128" 3230 3.3 "Mammalia"
"129" 3121 3.3 "Mammalia"
"130" 3065 3.4 "Mammalia"
"131" 3036 4.1 "Mammalia"
"132" 3027 9.7 "Mammalia"
"133" 3008 13.8 "Mammalia"
"134" 2907 10.3 "Mammalia"
"135" 2875 3.8 "Mammalia"
"136" 2857 2.8 "Mammalia"
"137" 2841 2.8 "Mammalia"
"138" 2834 3.5 "Mammalia"
"139" 2822 3.3 "Mammalia"
"140" 2816 3.1 "Mammalia"
"141" 2770 3.8 "Mammalia"
"142" 2753 3.7 "Mammalia"
"143" 2750 4.2 "Mammalia"
"144" 2741 4.2 "Mammalia"
"145" 2730 4.2 "Mammalia"
"146" 2637 4.4 "Mammalia"
"147" 2545 4.2 "Mammalia"
"148" 2518 3.9 "Mammalia"
"149" 2497 4.2 "Mammalia"
"150" 2483 4.2 "Mammalia"
"151" 2473 3.7 "Mammalia"
"152" 2440 3.9 "Mammalia"
"153" 2371 3.7 "Mammalia"
"154" 2342 3.6 "Mammalia"
"155" 2286 3.4 "Mammalia"
"156" 2280 3.1 "Mammalia"
"157" 2252 3 "Mammalia"
"158" 2240 3.4 "Mammalia"
"159" 2206 3.6 "Mammalia"
"160" 2189 3.4 "Mammalia"
"161" 2177 3.8 "Mammalia"
"162" 2174 4 "Mammalia"
"163" 2148 3.9 "Mammalia"
"164" 2144 3.8 "Mammalia"
"165" 2136 3.7 "Mammalia"
"166" 2132 3.9 "Mammalia"
"167" 2128 3.5 "Mammalia"
"168" 2108 4 "Mammalia"
"169" 2106 3.9 "Mammalia"
"170" 2102 3.3 "Mammalia"
"171" 2067 3.3 "Mammalia"
"172" 2049 3.4 "Mammalia"
"173" 2018 3.7 "Mammalia"
"174" 1991 4.2 "Mammalia"
"175" 1985 4.3 "Mammalia"
"176" 1973 4.3 "Mammalia"
"177" 1959 4.3 "Mammalia"
"178" 1949 4.2 "Mammalia"
"179" 1919 4 "Mammalia"
"180" 1822 3.6 "Mammalia"
"181" 1793 3.7 "Mammalia"
"182" 1715 2.8 "Mammalia"
"183" 1684 3.5 "Mammalia"
"184" 1539 3.8 "Mammalia"
"185" 1532 3.1 "Mammalia"
"186" 1503 3.6 "Mammalia"
"187" 1495 3.7 "Mammalia"
"188" 1472 3.7 "Mammalia"
"189" 1453 4.9 "Mammalia"
"190" 1427 4.3 "Mammalia"
"191" 1425 3 "Mammalia"
"192" 1397 4.2 "Mammalia"
"193" 1385 4.7 "Mammalia"
"194" 1373 20.6 "Mammalia"
"195" 1362 15.2 "Mammalia"
"196" 1319 10.3 "Mammalia"
"197" 1304 5.8 "Mammalia"
"198" 1298 5.2 "Mammalia"
"199" 1292 4.1 "Mammalia"
"200" 1247 3.9 "Mammalia"
"201" 1244 3.4 "Mammalia"
"202" 1205 4 "Mammalia"
"203" 1170 2.9 "Mammalia"
"204" 1166 3.8 "Mammalia"
"205" 1152 3.8 "Mammalia"
"206" 1145 3.6 "Mammalia"
"207" 1121 3 "Mammalia"
"208" 1108 3.5 "Mammalia"
"209" 1104 3.6 "Mammalia"
"210" 1098 3.1 "Mammalia"
"211" 1054 3.6 "Mammalia"
"212" 1047 3.4 "Mammalia"
"213" 1032 3.8 "Mammalia"
"214" 1027 3.8 "Mammalia"
"215" 1017 3.1 "Mammalia"
"216" 1014 3.5 "Mammalia"
"217" 1010 3.6 "Mammalia"
"218" 1008 3.4 "Mammalia"
"219" 1002 3.3 "Mammalia"
"220" 987 3.3 "Mammalia"
"221" 981 3.2 "Mammalia"
"222" 975 2.6 "Mammalia"
"223" 972 2.9 "Mammalia"
"224" 969 3.6 "Mammalia"
"225" 965 3.4 "Mammalia"
"226" 963 3 "Mammalia"
"227" 960 3.8 "Mammalia"
"228" 935 3.4 "Mammalia"
"229" 925 2.8 "Mammalia"
"230" 921 3.5 "Mammalia"
"231" 919 3.3 "Mammalia"
"232" 909 3.7 "Mammalia"
"233" 903 4.2 "Mammalia"
"234" 897 3.8 "Mammalia"
"235" 882 4 "Mammalia"
"236" 879 4.4 "Mammalia"
"237" 877 3.8 "Mammalia"
"238" 874 3.3 "Mammalia"
"239" 861 4.1 "Mammalia"
"240" 851 3.7 "Mammalia"
"241" 848 3.2 "Mammalia"
"242" 845 3.3 "Mammalia"
"243" 843 4 "Mammalia"
"244" 841 3 "Mammalia"
"245" 816 4.1 "Mammalia"
"246" 811 3.1 "Mammalia"
"247" 807 2.5 "Mammalia"
"248" 805 2.9 "Mammalia"
"249" 776 3.4 "Mammalia"
"250" 770 3.4 "Mammalia"
"251" 764 3.7 "Mammalia"
"252" 762 3.9 "Mammalia"
"253" 759 2.9 "Mammalia"
"254" 757 3.7 "Mammalia"
"255" 755 4.1 "Mammalia"
"256" 722 3 "Mammalia"
"257" 718 2.8 "Mammalia"
"258" 709 3 "Mammalia"
"259" 703 2.9 "Mammalia"
"260" 699 3.8 "Mammalia"
"261" 687 3.8 "Mammalia"
"262" 684 4 "Mammalia"
"263" 679 4 "Mammalia"
"264" 676 4.2 "Mammalia"
"265" 674 4.4 "Mammalia"
"266" 672 4.3 "Mammalia"
"267" 670 4.3 "Mammalia"
"268" 666 3.5 "Mammalia"
"269" 661 3.7 "Mammalia"
"270" 649 3.8 "Mammalia"
"271" 645 3.7 "Mammalia"
"272" 638 2.7 "Mammalia"
"273" 633 2.9 "Mammalia"
"274" 620 3.4 "Mammalia"
"275" 618 3.2 "Mammalia"
"276" 612 3.4 "Mammalia"
"277" 608 3.3 "Mammalia"
"278" 601 3.4 "Mammalia"
"279" 599 3.1 "Mammalia"
"280" 596 3.5 "Mammalia"
"281" 581 3.7 "Mammalia"
"282" 577 2.8 "Mammalia"
"283" 571 3.6 "Mammalia"
"284" 565 3.2 "Mammalia"
"285" 550 2.9 "Mammalia"
"286" 548 3.2 "Mammalia"
"287" 540 3.3 "Mammalia"
"288" 528 3.4 "Mammalia"
"289" 524 3 "Mammalia"
"290" 522 2.6 "Mammalia"
"291" 513 3.6 "Mammalia"
"292" 498 2.9 "Mammalia"
"293" 496 3.1 "Mammalia"
"294" 492 3.6 "Mammalia"
"295" 490 3.9 "Mammalia"
"296" 481 3.7 "Mammalia"
