"spcdist" "p_value"
"1" -10000 0.993
"2" -9999 0.833
"3" -9998 0.976
"4" -9997 0.99
"5" -9996 0.989
"6" -9995 0.99
"7" -9994 0.863
"8" -9993 0.937
"9" -9992 0.858
"10" -9991 0.952
"11" -9990 0.991
"12" -9989 0.999
"13" -9988 0.744
"14" -9987 0.932
"15" -9986 1
"16" -9985 0.939
"17" -9984 1
"18" -9983 0.895
"19" -9982 0.966
"20" -9981 0.98
"21" -9980 0.885
"22" -9979 0.659
"23" -9978 0.998
"24" -9977 0.996
"25" -9976 0.998
"26" -9975 0.93
"27" -9974 0.995
"28" -9973 0.971
"29" -9972 0.988
"30" -9971 0.97
"31" -9970 0.767
"32" -9969 0.99
"33" -9968 0.714
"34" -9967 0.963
"35" -9966 0.902
"36" -9965 1
"37" -9964 0.993
"38" -9963 0.993
"39" -9962 1
"40" -9961 0.854
"41" -9960 0.995
"42" -9959 0.832
"43" -9958 0.882
"44" -9957 0.909
"45" -9956 0.973
"46" -9955 0.99
"47" -9954 0.972
"48" -9953 0.992
"49" -9952 0.961
"50" -9951 0.953
"51" -9950 0.952
"52" -9949 0.926
"53" -9948 0.956
"54" -9947 0.929
"55" -9946 0.998
"56" -9945 0.95
"57" -9944 0.958
"58" -9943 0.672
"59" -9942 0.998
"60" -9941 0.999
"61" -9940 0.932
"62" -9939 0.973
"63" -9938 0.991
"64" -9937 0.999
"65" -9936 0.999
"66" -9935 0.179
"67" -9934 0.805
"68" -9933 1
"69" -9932 0.994
"70" -9931 0.953
"71" -9930 0.965
"72" -9929 0.981
"73" -9928 0.981
"74" -9927 0.986
"75" -9926 0.979
"76" -9925 0.921
"77" -9924 0.959
"78" -9923 0.807
"79" -9922 0.896
"80" -9921 1
"81" -9920 0.517
"82" -9919 0.997
"83" -9918 0.789
"84" -9917 0.946
"85" -9916 0.842
"86" -9915 0.852
"87" -9914 0.978
"88" -9913 0.612
"89" -9912 0.779
"90" -9911 0.974
"91" -9910 0.979
"92" -9909 0.995
"93" -9908 0.986
"94" -9907 0.998
"95" -9906 0.451
"96" -9905 0.684
"97" -9904 0.888
"98" -9903 0.999
"99" -9902 0.996
"100" -9901 0.893
"101" -9900 0.998
"102" -9899 0.969
"103" -9898 0.984
"104" -9897 0.979
"105" -9896 0.949
"106" -9895 0.988
"107" -9894 1
"108" -9893 0.576
"109" -9892 0.997
"110" -9891 0.998
"111" -9890 0.994
"112" -9889 1
"113" -9888 0.998
"114" -9887 0.955
"115" -9886 0.982
"116" -9885 0.999
"117" -9884 0.128
"118" -9883 0.987
"119" -9882 0.599
