"Chromosome"	"Start"	"End"	"MP"
"chr16"	75423552	75423553	96.2
"chr3"	186438147	186438148	75.4
"chr3"	186873590	186873591	92.8
"chr1"	14478738	14478739	10.2
"chr16"	439094	439095	95.8
"chrX"	18762848	18762849	67.7
"chr5"	179774722	179774723	96.6
"chr4"	156238579	156238580	90.3
"chr8"	40276334	40276335	44.8
"chr19"	2511448	2511449	96.9
"chr4"	7836285	7836286	91.8
"chr3"	20895185	20895186	60.4
"chr5"	1617613	1617614	96
"chr17"	78958161	78958162	91.8
"chr7"	28637676	28637677	5.7
"chr11"	48942866	48942867	6.4
"chr7"	35257020	35257021	3.6
"chr6"	71177879	71177880	49.4
"chr19"	3189575	3189576	95.3
"chr5"	21290379	21290380	46.7
"chr18"	5379202	5379203	6.9
"chr9"	87525589	87525590	49.7
"chr12"	113436914	113436915	71.4
"chr11"	31152187	31152188	96.4
"chrX"	42004716	42004717	96.6
"chr8"	106433034	106433035	95.1
"chr7"	57675442	57675443	2.9
"chr7"	98028749	98028750	87.3
"chr10"	23650902	23650903	42.2
"chr4"	533861	533862	96.6
"chr4"	181536067	181536068	95.7
"chr3"	38537603	38537604	97
"chr4"	1750474	1750475	54.3
"chr6"	21575015	21575016	96.7
"chr2"	109203398	109203399	97.3
"chr12"	42006051	42006052	85.3
"chr6"	105292921	105292922	96.4
"chr13"	19496845	19496846	82.6
"chr2"	104726463	104726464	79.4
"chr11"	37105060	37105061	14.4
"chr8"	61181759	61181760	94.9
"chr10"	117756588	117756589	69.8
"chr3"	193018297	193018298	70
"chr10"	5299116	5299117	94.4
"chr2"	2411200	2411201	4.1
"chr5"	107167041	107167042	92.5
"chr17"	59335838	59335839	97
"chr6"	4569935	4569936	85.1
"chr7"	35005734	35005735	93.7
"chr17"	74203862	74203863	2.5
"chr8"	130355855	130355856	94.7
"chr1"	192500643	192500644	96.7
"chr9"	62740879	62740880	95.4
"chr10"	59027910	59027911	35.9
"chr2"	4870627	4870628	7
"chr16"	11573013	11573014	97.3
"chr20"	33759040	33759041	96.6
"chr10"	59170794	59170795	74.3
"chr2"	41973996	41973997	3.1
"chr6"	78364672	78364673	49.2
"chr2"	76961108	76961109	55
"chr12"	10253856	10253857	67.5
"chr17"	46976116	46976117	84.8
"chr8"	9606135	9606136	59.2
"chr16"	18637863	18637864	96.2
"chr12"	129336495	129336496	75.2
"chr8"	22607497	22607498	92
"chr1"	162581704	162581705	94.6
"chr10"	129510663	129510664	94.6
"chr16"	24290409	24290410	3.9
"chr6"	13777702	13777703	37.9
"chr1"	222853216	222853217	76.2
"chr20"	58883906	58883907	92.6
"chr5"	93594880	93594881	4
"chr20"	38461347	38461348	95.7
"chr2"	115564129	115564130	26.4
"chrX"	38775183	38775184	96.1
"chr3"	129424652	129424653	3.6
"chr19"	46375158	46375159	96.7
"chr14"	103441384	103441385	96.9
"chr12"	116066818	116066819	19.1
"chr5"	100535495	100535496	3.3
"chr3"	68125399	68125400	8
"chr14"	67852157	67852158	89.4
"chr2"	235830073	235830074	29
"chr15"	34174574	34174575	97.1
"chr6"	151241263	151241264	4.1
"chr12"	123134281	123134282	96.6
"chr17"	78087009	78087010	97
"chr3"	94003605	94003606	95.8
"chr8"	105500306	105500307	5.7
"chr14"	18372015	18372016	34.8
"chr15"	100427069	100427070	85.5
"chr9"	98900344	98900345	71.2
